accidents,traffic_fine_amount,traffic_density,traffic_lights,pavement_quality,urban_area,average_speed,rain_intensity,vehicle_count,time_of_day
20,4.3709,2.3049,0.0753,0.77,1,32.1592,1.1944,29.0857,16.0432
11,9.5564,3.2757,0.5452,4.054,1,47.8623,0.6296,93.1812,8.9108
19,7.5879,2.0989,0.6697,0.345,0,36.4476,2.8584,83.0086,5.5727
23,6.3879,4.9188,0.9412,0.4729,0,20.92,2.1065,81.3159,13.1452
23,2.4042,0.1961,0.7393,1.7111,1,37.378,1.7028,1.4663,0.6961
31,2.404,6.7137,0.5411,0.5905,1,40.4621,1.8936,68.9041,8.1801
29,1.5228,5.2316,0.9326,2.3785,1,16.292,2.5213,23.7971,12.6622
18,8.7956,8.9864,0.4784,1.9984,0,35.2566,1.9072,96.8067,8.0602
15,6.41,1.6439,0.5612,3.609,1,21.7198,0.3438,53.5444,8.2904
22,7.3727,8.0411,0.5961,4.765,1,40.9261,2.0919,56.9056,20.3591
28,1.1853,7.9196,0.41,3.7678,1,14.7689,1.6946,36.2918,22.4158
17,9.7292,1.2718,0.8385,0.8972,0,46.888,2.899,54.1363,19.8574
14,8.492,3.9856,0.1852,4.6776,0,28.7393,2.2012,75.224,2.3728
21,2.9111,1.7015,0.5548,1.9607,1,17.6652,1.032,56.6301,6.9538
22,2.6364,2.5472,0.7222,2.3709,0,20.9686,0.4062,64.485,17.0711
25,2.6506,2.6325,0.904,2.1079,1,17.3899,1.4468,47.7743,23.3854
25,3.7382,5.5624,0.8839,1.4027,1,7.3123,2.0381,71.9236,5.8148
18,5.7228,4.1141,0.5087,4.4752,1,3.4246,0.5318,90.0563,21.5571
27,4.8875,9.4773,0.6432,1.6612,1,16.0889,1.9483,6.0541,17.7364
24,3.6211,1.2637,0.3942,2.893,1,22.9345,2.4768,11.6224,23.6028
20,6.5067,9.7369,0.4682,1.2002,0,18.0908,0.4712,68.8753,2.2461
23,2.2554,2.3064,0.9063,3.9869,0,0.696,2.1174,38.3927,9.4739
24,3.6293,7.7287,0.9307,3.871,1,28.9503,0.2048,28.8802,11.4748
17,4.2973,3.3897,0.8954,1.4816,0,7.2408,0.0239,18.6807,16.13
11,5.1046,1.4308,0.1384,3.4078,0,10.5503,0.0979,57.691,15.6953
21,8.0666,8.5789,0.8501,3.5194,1,6.0374,1.8945,35.4057,21.7523
28,2.7971,3.0886,0.9484,2.8126,1,26.0216,2.9201,51.2881,20.1282
20,5.6281,6.5886,0.3612,3.003,1,4.758,2.3141,95.8976,1.3289
19,6.3317,5.6644,0.5186,2.8723,1,12.8179,0.7632,76.0685,11.677
26,1.4181,4.7176,0.7791,0.4093,0,22.5854,0.2151,79.7991,9.7695
17,6.4679,4.9582,0.5621,3.3513,0,8.3854,1.85,13.2956,23.9315
23,2.5347,7.3224,0.9935,2.3489,1,22.3121,0.0097,33.1731,10.2542
25,1.5855,0.8777,0.4557,2.1923,0,17.1368,2.3778,11.5173,16.3829
14,9.54,6.6818,0.7139,4.3,0,43.0299,0.7294,96.8836,6.8263
19,9.6907,8.9581,0.7926,0.1161,1,39.7452,0.8977,68.5366,14.7511
